# Continuous evolution trace log
global_time,t,x,a
44.993950,0.505550,224.969750,5.000000
45.095060,0.606660,225.475300,5.000000
45.196170,0.707770,225.980850,5.000000
45.297280,0.808880,226.486400,5.000000
45.398390,0.909990,226.991950,5.000000
45.499500,1.011100,227.497500,5.000000
global_time,t,x,a
45.499500,0.000000,227.497500,5.000000
45.600610,0.101110,228.003050,5.000000
45.701720,0.202220,228.508600,5.000000
45.802830,0.303330,229.014150,5.000000
45.903940,0.404440,229.519700,5.000000
46.005050,0.505550,230.025250,5.000000
46.106160,0.606660,230.530800,5.000000
46.207270,0.707770,231.036350,5.000000
46.308380,0.808880,231.541900,5.000000
46.409490,0.909990,232.047450,5.000000
46.510600,1.011100,232.553000,5.000000
global_time,t,x,a
46.510600,0.000000,232.553000,5.000000
46.611710,0.101110,233.058550,5.000000
46.712820,0.202220,233.564100,5.000000
46.813930,0.303330,234.069650,5.000000
46.915040,0.404440,234.575200,5.000000
47.016150,0.505550,235.080750,5.000000
47.117260,0.606660,235.586300,5.000000
47.218370,0.707770,236.091850,5.000000
47.319480,0.808880,236.597400,5.000000
47.420590,0.909990,237.102950,5.000000
47.521700,1.011100,237.608500,5.000000
global_time,t,x,a
47.521700,0.000000,237.608500,5.000000
47.622810,0.101110,238.114050,5.000000
47.723920,0.202220,238.619600,5.000000
47.825030,0.303330,239.125150,5.000000
47.926140,0.404440,239.630700,5.000000
48.027250,0.505550,240.136250,5.000000
48.128360,0.606660,240.641800,5.000000
48.229470,0.707770,241.147350,5.000000
48.330580,0.808880,241.652900,5.000000
48.431690,0.909990,242.158450,5.000000
48.532800,1.011100,242.664000,5.000000
global_time,t,x,a
48.532800,0.000000,242.664000,5.000000
48.633910,0.101110,243.169550,5.000000
48.735020,0.202220,243.675100,5.000000
48.836130,0.303330,244.180650,5.000000
48.937240,0.404440,244.686200,5.000000
49.038350,0.505550,245.191750,5.000000
49.139460,0.606660,245.697300,5.000000
49.240570,0.707770,246.202850,5.000000
49.341680,0.808880,246.708400,5.000000
49.442790,0.909990,247.213950,5.000000
49.543900,1.011100,247.719500,5.000000
global_time,t,x,a
49.543900,0.000000,247.719500,5.000000
49.645010,0.101110,248.225050,5.000000
49.746120,0.202220,248.730600,5.000000
49.847230,0.303330,249.236150,5.000000
49.948340,0.404440,249.741700,5.000000
50.049450,0.505550,250.247250,5.000000
50.150560,0.606660,250.752800,5.000000
50.251670,0.707770,251.258350,5.000000
50.352780,0.808880,251.763900,5.000000
50.453890,0.909990,252.269450,5.000000
50.555000,1.011100,252.775000,5.000000
global_time,t,x,a
50.555000,0.000000,252.775000,5.000000
50.656110,0.101110,253.280550,5.000000
50.757220,0.202220,253.786100,5.000000
50.858330,0.303330,254.291650,5.000000
50.959440,0.404440,254.797200,5.000000
51.060550,0.505550,255.302750,5.000000
51.161660,0.606660,255.808300,5.000000
51.262770,0.707770,256.313850,5.000000
51.363880,0.808880,256.819400,5.000000
51.464990,0.909990,257.324950,5.000000
51.566100,1.011100,257.830500,5.000000
global_time,t,x,a
51.566100,0.000000,257.830500,5.000000
51.667210,0.101110,258.336050,5.000000
51.768320,0.202220,258.841600,5.000000
51.869430,0.303330,259.347150,5.000000
51.970540,0.404440,259.852700,5.000000
52.071650,0.505550,260.358250,5.000000
52.172760,0.606660,260.863800,5.000000
52.273870,0.707770,261.369350,5.000000
52.374980,0.808880,261.874900,5.000000
52.476090,0.909990,262.380450,5.000000
52.577200,1.011100,262.886000,5.000000
global_time,t,x,a
